round,client,cl_batch_idx,cl_batches_total,new_samples,replay_ratio
0,0,1,7,5242,0.5
0,1,1,7,5242,0.5
0,2,1,7,5242,0.5
0,3,1,7,5242,0.5
1,0,2,7,1001,0.5
1,1,2,7,1001,0.5
1,2,2,7,1001,0.5
1,3,2,7,1001,0.5
2,0,3,7,1001,0.5
2,1,3,7,1001,0.5
2,2,3,7,1001,0.5
2,3,3,7,1001,0.5
3,0,4,7,1001,0.5
3,1,4,7,1001,0.5
3,2,4,7,1001,0.5
3,3,4,7,1001,0.5
4,0,5,7,1001,0.5
4,1,5,7,1001,0.5
4,2,5,7,1001,0.5
4,3,5,7,1001,0.5
5,0,6,7,1001,0.5
5,1,6,7,1001,0.5
5,2,6,7,1001,0.5
5,3,6,7,1001,0.5
6,0,7,7,1003,0.5
6,1,7,7,1003,0.5
6,2,7,7,1003,0.5
6,3,7,7,1003,0.5
